intensified,0.538990632009699,intensified,0.6178290462354221
received,0.4574180245928708,received,0.4759736469093498
sovereign,0.6072370553550894,sovereign,0.36386248170886626
installment,0.5649337101685019,installment,0.6489503233213029
obligated,0.3765547071601154,obligated,0.38100971447656884
published,0.44682603371253804,published,0.40289195159648794
carcass,0.40361514320711234,carcass,0.5556683671359478
satellite,0.1962987530447178,satellite,0.14177268004833496
ancient,0.10843058881261769,ancient,0.05450040055810318
practice,0.556785725024142,practice,0.7854431700120836
edited,0.4603365714921896,edited,0.47640891891065124
invaded,0.6045971386763123,invaded,0.4100950537305982
antagonist,0.4931398248254962,antagonist,0.5124325403791512
combat,0.21447411071017877,combat,0.05450040055810318
predominantly,0.26094454360389685,predominantly,0.38424432061349023
retired,0.518175357665461,retired,0.5545260729963828
founded,0.3128838707100987,founded,0.29470851304463774
longevity,0.6680332263056021,longevity,0.5226303649819145
settled,0.4218828459142684,settled,0.5456160583634759
produced,0.37857961036714766,produced,0.3370133584177362
competitions,0.6113117980205248,competitions,0.4421612138267286
footballer,0.40370748824880737,footballer,0.3437514538268088
conceals,0.0,conceals,0.05450040055810318
express,0.4492561378219593,express,0.31789109494574336
intensified,0.81584125548734,intensified,0.7535474619976151
received,0.3515191743201507,received,0.3820378393743272
sovereign,0.520815274344238,sovereign,0.47002101705368426
installment,0.43915065826089117,installment,0.3564765260530534
obligated,0.5018793873767411,obligated,0.4037074882488074
published,0.4542134895548619,published,0.3564765260530534
carcass,0.5269522579081173,carcass,0.5087769002426565
satellite,0.5363507153309219,satellite,0.31789109494574336
ancient,0.2665277820090007,ancient,0.21447411071017877
practice,0.9386137518291132,practice,0.7613151824909572
edited,0.7094290261733514,edited,0.4837040297112801
invaded,0.5640261648496637,invaded,0.572701430661844
antagonist,0.5490180045308001,antagonist,0.3503503001204863
combat,0.16176462853798332,combat,0.05450040055810318
predominantly,0.4428983070639047,predominantly,0.5312229115163571
retired,0.6254124130205503,retired,0.7205094598435817
founded,0.4796292870458447,founded,0.5304997199057326
longevity,0.7717228196630761,longevity,0.8364217810108513
settled,0.7205094598435817,settled,0.7863507153309219
produced,0.326483641480186,produced,0.4002131970397882
competitions,0.41290542249103734,competitions,0.37277249634177323
footballer,0.4623614746992219,footballer,0.5864217810108514
conceals,0.05450040055810318,conceals,0.09025523114715672
express,0.5669586133755341,express,0.594043985673902
