intensified-grew, 31, 887, 856
received-got, 1269, 2289, 1020
sovereign-ruler, 164, 317, 153
installment-game, 29, 4699, 4670
obligated-required, 3, 497, 494
published-printed, 1933, 399, -1534
carcass-body, 9, 3024, 3015
satellite-moon, 199, 1014, 815
ancient-old, 1832, 3905, 2073
practice-way, 598, 4850, 4252
edited-changed, 110, 2218, 2108
invaded-attacked, 237, 511, 274
antagonist-villain, 31, 64, 33
combat-fight, 158, 1161, 1003
predominantly-mostly, 47, 1850, 1803
retired-former, 823, 3801, 2978
founded-started, 1688, 5290, 3602
longevity-long life, 25, 0, -25
settled-lived, 380, 2257, 1877
produced-made, 1612, 14828, 13216
competitions-contests, 189, 50, -139
footballer-athlete, 97, 107, 10
conceals-hides, 5, 41, 36
express-show, 383, 4143, 3760
intensified-grew, 31, 887, 856
received-got, 1269, 2289, 1020
sovereign-ruler, 164, 317, 153
installment-game, 29, 4699, 4670
obligated-required, 3, 497, 494
published-printed, 1933, 399, -1534
carcass-body, 9, 3024, 3015
satellite-moon, 199, 1014, 815
ancient-old, 1832, 3905, 2073
practice-way, 598, 4850, 4252
edited-changed, 110, 2218, 2108
invaded-attacked, 237, 511, 274
antagonist-villain, 31, 64, 33
combat-fight, 158, 1161, 1003
predominantly-mostly, 47, 1850, 1803
retired-former, 823, 3801, 2978
founded-started, 1688, 5290, 3602
longevity-long life, 25, 0, -25
settled-lived, 380, 2257, 1877
produced-made, 1612, 14828, 13216
competitions-contests, 189, 50, -139
footballer-athlete, 97, 107, 10
conceals-hides, 5, 41, 36
express-show, 383, 4143, 3760
intensified-increased, 31, 490, 459
received-got, 1269, 2289, 1020
sovereign-king, 164, 4020, 3856
installment-episode, 29, 1081, 1052
obligated-forced, 3, 658, 655
published-printed, 1933, 399, -1534
carcass-body, 9, 3024, 3015
carcass-corpse, 9, 43, 34
satellite-moon, 199, 1014, 815
ancient-old, 1832, 3905, 2073
practice-way, 598, 4850, 4252
edited-fixed, 110, 322, 212
invaded-attacked, 237, 511, 274
antagonist-enemy, 31, 358, 327
combat-fight, 158, 1161, 1003
predominantly-mostly, 47, 1850, 1803
retired-quit, 823, 177, -646
founded-started, 1688, 5290, 3602
longevity-old, 25, 3905, 3880
settled-lived, 380, 2257, 1877
produced-made, 1612, 14828, 13216
competitions-contests, 189, 50, -139
footballer-player, 97, 6934, 6837
conceals-hides, 5, 41, 36
express-say, 383, 1907, 1524
express-show, 383, 4143, 3760
intensified-increased, 31, 490, 459
received-got, 1269, 2289, 1020
sovereign-king, 164, 4020, 3856
installment-episode, 29, 1081, 1052
obligated-forced, 3, 658, 655
published-printed, 1933, 399, -1534
carcass-body, 9, 3024, 3015
carcass-corpse, 9, 43, 34
satellite-moon, 199, 1014, 815
ancient-old, 1832, 3905, 2073
practice-way, 598, 4850, 4252
edited-fixed, 110, 322, 212
edited-changed, 110, 2218, 2108
invaded-attacked, 237, 511, 274
antagonist-enemy, 31, 358, 327
combat-fight, 158, 1161, 1003
predominantly-mostly, 47, 1850, 1803
retired-quit, 823, 177, -646
founded-started, 1688, 5290, 3602
longevity-old, 25, 3905, 3880
settled-lived, 380, 2257, 1877
produced-made, 1612, 14828, 13216
competitions-contests, 189, 50, -139
footballer-player, 97, 6934, 6837
conceals-hides, 5, 41, 36
express-say, 383, 1907, 1524
express-show, 383, 4143, 3760
